,Task,Frequency,,,,Note,,,,
Budget & Segmentation,Budget & Segmentation,Ogni 72 ore,Weekly,Monthly,90 giorni,Note,Weekly,Monthly,90 Days,Note
,1. Rivedi spesa campagne vs risultati,,,,,,,,,
,a. Ci sono campagne pronte per essere scalate? (buone metriche di conversione con una bassa quota di impressioni di ricerca < 65%),FALSE,FALSE,TRUE,FALSE,,,,,
,"a. Ci sono campagne che necessitano di ottimizzazioni extra? (metriche di conversione scadenti, ad esempio: nessuna conversione, CPA elevato, ROAS basso)",FALSE,TRUE,FALSE,FALSE,,,,,
,2. Rivedi spesa Asset Group vs risultati,,,,,,,,,
,a. Ci sono Asset Group che devono essere spostati in una campagna separata? (buone metriche di conversione ma bassa spesa),FALSE,FALSE,TRUE,FALSE,,,,,
,"b. Ci sono Asset Group che necessitano di ottimizzazioni extra? (metriche di conversione scadenti, ad esempio: nessuna conversione, CPA elevato, ROAS basso)",FALSE,TRUE,FALSE,FALSE,,,,,
Targeting,Targeting,,,,,,,,,
,3. Search Themes ,,,,,,,,,
,a. controlla il report di approfondimento sui termini di ricerca (Insights > Search term insights),FALSE,FALSE,TRUE,FALSE,,,,,
,> Aggiungi esclusioni di brand per ridurre la spesa indesiderata su brand o brand concorrenti,,,,,,,,,
,> Aggiungi esclusioni URL se vengono prese di mira pagine di prodotti o servizi non correlati,,,,,,,,,
,,,,,,,,,,
,4. Risultati per geografia,,,,,,,,,
,a. controllare le performance per geografia e aggiungere esclusioni (se necessario),FALSE,FALSE,TRUE,FALSE,,,,,
,b. Verificare se ci sono ricerche da località non mirate (ed escludere località),FALSE,FALSE,TRUE,FALSE,,,,,
,5. Risultati per posizionamento,,,,,,,,,
,"a. Rivedi il tuo report ""Posizionamento campagne Performance Max"" andando su Insights > Report Editor",FALSE,FALSE,TRUE,FALSE,,,,,
,"> Se mostri annunci su siti Web e app non correlati, aggiungili alle esclusioni",FALSE,FALSE,FALSE,FALSE,,,,,
,6. Revisione del prodotto e del titolo del prodotto (solo per campagne Performance Max con un feed prodotto/listing group associato),,,,,,,,,
,a. Identificare i prodotti che non stanno dando i risultati sperati e decidere se escluderli o concentrarli su di essi con ulteriori ottimizzazioni.,FALSE,FALSE,FALSE,FALSE,,,,,
,"Per visualizzare le ottimizzazioni per i tuoi Prodotti e Shopping Feed, vai al foglio [Shopping] e segui i passaggi da 4 a 7",FALSE,FALSE,TRUE,FALSE,,,,,
Ads & Landing Pages,Annunci e landing page,,,,,,,,,
,11. controlla gli Asset pubblicitari in ciascun Asset Group,,,,,,,,,
,"a. Rivedi i tuoi Ad Assets e sostituisci quelle con un punteggio ""basso"", tra cui:",FALSE,FALSE,TRUE,FALSE,,,,,
,> titoli,,,,,,,,,
,> descrizioni,,,,,,,,,
,> descrizioni lunghe,,,,,,,,,
,> Immagini,,,,,,,,,
,> Video,,,,,,,,,
,12. Rivedi lo status dei tuoi Asset Groups,,,,,,,,,
,"a. Verificare se alcuni gruppi di asset presentano avvisi di stato come (limitato); se questi vengono visualizzati, apportare le modifiche necessarie.",FALSE,TRUE,FALSE,FALSE,,,,,
,13. Assicurati di avere Ad Assets attivi ,,,,,,,,,
,a. Assicurati di avere attivo,,,,,,,,,
,> estensioni sitelink,FALSE,FALSE,TRUE,FALSE,,,,,
,> estensioni callout,FALSE,FALSE,TRUE,FALSE,,,,,
,> estensione snippet strutturato,FALSE,FALSE,TRUE,FALSE,,,,,
,> estensione della chiamata (se pertinente),FALSE,FALSE,TRUE,FALSE,,,,,
,> estensione del modulo lead (se pertinente),FALSE,FALSE,TRUE,FALSE,,,,,
,> estensioni di posizione (collegamento GMB) (se pertinente),FALSE,FALSE,TRUE,FALSE,,,,,
,> estensioni di posizione dell'affiliato (se pertinenti),FALSE,FALSE,TRUE,FALSE,,,,,
,> estensione del prezzo (se pertinente),FALSE,FALSE,TRUE,FALSE,,,,,
,> estensione della promozione (se pertinente),FALSE,FALSE,TRUE,FALSE,,,,,
,> estensioni di immagine,FALSE,FALSE,TRUE,FALSE,,,,,
,14. Review della landing page,,,,,,,,,
,"a. Se stai inviando annunci a diverse landing page/pagine prodotto, controlla i tassi di conversione per landing page. Se alcune landing page hanno un tasso di conversione significativamente inferiore, valuta di aggiornarle/modificarle.",FALSE,FALSE,FALSE,TRUE,,,,,
,b. Rivedi le pagine dei tuoi prodotti:,FALSE,FALSE,FALSE,TRUE,,,,,
,> Le pagine dei tuoi prodotti hanno trasparenza sui prezzi (prezzo e costi di spedizione chiari),,,,,,,,,
,> Le pagine dei tuoi prodotti hanno politiche chiare per resi e consegne?,,,,,,,,,
,> Le pagine dei tuoi prodotti hanno una guida alle taglie?,,,,,,,,,
,> Le pagine dei tuoi prodotti includono indicatori di credibilità come testimonianze e recensioni di prodotti?,,,,,,,,,
,c. controllare il tempo di caricamento della landing page https://pagespeed.web.dev/,FALSE,FALSE,FALSE,TRUE,,,,,
Strategie di Offerta/Bidding,Strategie di Offerta/Bidding,,,,,,,,,
,15. Revisione delle strategie di offerta,,,,,,,,,
,a. Ci sono abbastanza dati di conversione da aggiungere a un tROAS o a un tCPA? (controlla di seguito),FALSE,FALSE,FALSE,TRUE,,,,,
,> C'è stata una media di almeno 1 conversione primaria al giorno negli ultimi 30 giorni?,,,,,,,,,
,> Le conversioni settimanali sono aumentate ogni settimana nelle ultime 4-6 settimane?,,,,,,,,,
,"b. Se utilizzi un tCPA/tROAS, l'attuale target di offerta della campagna è ancora l'opzione migliore? O sta limitando le performance? (controlla queste metriche per verificare se è necessario modificare il target)",FALSE,FALSE,TRUE,TRUE,,,,,
,> C'è un calo nelle conversioni totali/valore di conversione,,,,,,,,,
,> La spesa per la campagna è stata ridotta in modo significativo?,,,,,,,,,
,> Le impressioni stanno calando troppo?,,,,,,,,,
,> Utilizzando lo strumento diagnostico Avg. Target CPA/ROAS noti un miglioramento nel tuo CPA/ROAS?,,,,,,,,,
,"> Se le tue impressioni diminuiscono in modo significativo, ciò può essere spiegato da un aumento del CTR, della % di conversione o del CPC medio?",,,,,,,,,
Check Finali,16. Check Finali,,,,,,,,,
,a. Tutti gli eventi di conversione funzionano?,FALSE,FALSE,TRUE,FALSE,,,,,
,b. Il Budget è in linea con le spesa prevista?,FALSE,FALSE,TRUE,FALSE,,,,,
,c. Il tuo metodo di pagamento funziona?,FALSE,FALSE,TRUE,FALSE,,,,,
,"d. Ci sono raccomandazioni ""applicate automaticamente"" attive nell'account?",FALSE,FALSE,TRUE,FALSE,,,,,
,e. Ci sono notifiche da Google a cui è necessario rispondere?,FALSE,FALSE,TRUE,FALSE,,,,,
,e. Ci sono notifiche da GMC che devono essere eseguite?,FALSE,FALSE,TRUE,FALSE,,,,,